player,school,gp,mpg,bpm,class,birthdate,pick
Robby Carmody,Le Moyne,24,25.1400,-3.84041,Sr,1999-05-08,
Drue Drinnon,Texas St.,24,22.6077,-3.78586,Sr,1999-12-06,
K.J. Hymes,Nevada,31,12.3839,1.06755,Sr,1999-08-10,
Jack Clark,VCU,34,28.7800,6.72189,Sr,2000-02-14,
Robert Braswell,Charlotte,32,25.0636,-0.0856161,Sr,1999-10-15,
Wynston Tabbs,Morgan St.,10,25.9154,-5.39943,Sr,1999-05-22,
Tyrel Bladen,Norfolk St.,29,17.3194,-3.5637,Sr,2000-01-06,
Jerome Hunter,Xavier,34,18.8588,2.62401,Sr,1999-12-22,
Antwann Jones,Bethune Cookman,1,5.5000,-0.696339,Sr,1999-05-29,
Keenan Fitzmorris,Northwestern,22,8.8818,5.84342,Sr,1999-10-15,
Kobe Julien,Arkansas St.,31,28.4438,2.12298,Sr,1999-10-07,
Messiah Jones,Towson,32,17.5485,2.20473,Sr,1999-12-15,
Matt Becht,Merrimack,33,29.8636,-1.49025,Sr,1999-08-23,
Chris Austin,Portland,29,28.9774,-1.52617,Sr,1999-10-15,
Ebrima Dibba,Cleveland St.,33,25.0286,-4.06288,Sr,1999-05-26,
Neftali Alvarez,Southern Miss,29,28.6710,-2.81139,Sr,1999-06-20,
Savion Lewis,Quinnipiac,25,28.5692,-3.83765,Sr,2000-07-18,
CJ Fredrick,Cincinnati,19,9.2158,-0.907957,Sr,1999-07-10,
Grayson Carter,Texas Southern,18,18.8619,-1.58315,Sr,1999-11-29,
Andrew Taylor,Stetson,2,18.2000,-10.5268,Sr,1999-06-23,
Elijah Elliott,Southern Illinois,4,26.5200,-0.309375,Sr,1999-10-15,
Colby Rogers,Memphis,35,30.2457,0.0672476,Sr,2001-01-14,
Jeremiah Hernandez,Ball St.,28,20.7452,-2.90201,Sr,2001-02-16,
Miguel Tomley,Weber St.,17,28.1050,-6.53462,Sr,2000-07-29,
Anderson Kopp,UMKC,12,20.3938,2.94526,Sr,2000-10-15,
Marcus Foster,Xavier,34,27.1382,4.19885,Sr,2002-01-06,
Cole Henry,Wyoming,30,18.8581,-0.168816,Jr,2000-10-15,
Richie Springs,Quinnipiac,31,6.4406,-5.83766,Sr,2001-09-28,
Doctor Bradley,Arkansas Pine Bluff,18,35.3611,3.51231,Jr,2000-10-15,
Alvin Stredic,Mississippi Valley St.,26,30.8679,-11.2137,Sr,2000-10-15,
Jalen Jackson,Western Kentucky,30,20.6063,-0.464762,Sr,2000-10-15,
Max Agbonkpolo,Montana St.,32,25.2182,-1.44555,Sr,2000-08-26,
Jalen Hill,UNLV,33,30.0061,3.4952,Sr,2001-04-04,
Emmanuel Tshimanga,New Mexico St.,29,15.4375,4.32745,Sr,2000-10-15,
Ofure Ujadughele,UC Irvine,38,11.2026,-0.0248853,Sr,2000-10-15,
Robert Carpenter,New Mexico St.,29,21.8281,3.2262,Sr,1999-10-13,
Trevin Knell,BYU,36,20.2583,8.41853,Sr,2000-10-15,
David Skogman,DePaul,20,17.5450,2.15689,Sr,2001-02-10,
Mickey Pearson Jr.,Ball St.,28,29.2935,-1.20393,Sr,2000-02-11,
Gibson Jimerson,Saint Louis,32,37.7706,-0.113651,Sr,1999-09-21,
Quinton Morton-Robertson,Purdue Fort Wayne,30,30.5968,0.0292428,Sr,2001-04-12,
Daniel Banister,Hampton,23,4.8538,1.33716,Sr,2000-10-15,
Rahmir Moore,Wagner,1,27.0500,-16.4876,Sr,2000-07-26,
Chol Marial,San Jose St.,27,9.1893,-2.31467,Sr,1999-11-01,
Keaston Willis,Tulsa,31,29.5394,0.583213,Sr,2001-04-03,
Jarred Hyder,Cal Poly,32,32.8545,-1.04051,Sr,2001-06-16,
Festus Ndumanya,Cal St. Northridge,24,5.8385,-7.09617,Sr,2000-10-15,
Brandton Chatfield,Iowa St.,35,14.4200,5.71776,Sr,2001-07-30,
Ryan Rapp,Hawaii,27,25.6321,-0.406502,Sr,2000-10-15,
Noah Williams,James Madison,28,11.1200,-5.38607,Sr,2001-02-28,
Tylan Pope,Texas St.,30,25.6250,0.200479,Sr,2001-02-08,
Chase Hunter,Clemson,34,33.4765,6.11597,Sr,2001-04-08,
Ken Evans Jr.,Florida Atlantic,33,26.5647,-0.545955,Sr,2000-10-15,
John Buggs III,East Tennessee St.,24,29.5192,-0.656622,Sr,2000-10-15,
Khalif Battle,Gonzaga,35,26.8371,5.59262,Sr,2000-06-24,
Josh Corbin,UNC Wilmington,19,23.4810,-1.9102,Sr,2000-10-15,
Dante Wilcox,FIU,29,15.3710,-5.17877,Sr,2000-10-15,
Neal Begovich,Duke,11,2.4091,13.4944,Sr,2000-10-15,
Christian Ings,Norfolk St.,31,27.6758,-2.78052,Sr,1999-09-14,
Oumar Ballo,Indiana,31,28.8548,8.59142,Sr,2002-07-13,
Keeshawn Barthelemy,Oregon,35,27.7971,5.24453,Sr,2001-01-02,
Ben Wight,Stony Brook,31,28.9625,-1.57527,Sr,2000-10-15,
Julian Rishwain,UNLV,31,30.4226,4.79454,Sr,2000-10-15,
Jacob Johnson,Middle Tennessee,18,9.7450,-0.871768,Sr,2001-06-23,
Anthony Selden,Gardner Webb,31,30.1226,-2.84899,Sr,1999-12-27,
Gerald Drumgoole Jr.,George Washington,33,26.2441,-1.77168,Sr,2001-07-25,
Tyem Freeman,Illinois Chicago,29,26.8187,1.96847,Sr,2000-12-16,
Ryan Wade,Green Bay,23,19.1708,-4.10398,Sr,2000-10-15,
Nate Lliteras,North Florida,30,29.4437,0.676491,Sr,2000-10-15,
Addison Patterson,Northwestern St.,29,28.4226,1.21644,Jr,2001-06-09,
KyKy Tandy,Florida Atlantic,33,21.0882,1.04176,Sr,2000-12-22,
Jason Murphy,North Carolina A&T,11,8.6583,-8.15668,Sr,2000-10-15,
Josh Cohen,USC,33,12.5727,5.52723,Sr,2001-05-29,
Dieonte Miles,Morehead St.,20,23.2087,-2.99347,Sr,2001-08-23,
Benjamin Bosmans-Verdonk,South Carolina,29,7.7483,-1.46284,Sr,2001-01-30,
Sabry Philip,Stony Brook,27,13.6143,-7.33823,Sr,2000-10-15,
Rick Issanza,Loyola Marymount,26,14.5538,1.05847,Sr,2000-10-15,
Miles Jones,UNC Greensboro,29,15.4625,-1.05858,Sr,2000-12-15,
Emmanuel Kuac,Detroit Mercy,28,20.6862,-4.78861,Sr,2000-12-25,
Omar Croskey,South Carolina St.,30,23.7394,1.04051,Sr,2000-10-15,
Zach Freemantle,Xavier,31,30.8097,6.24076,Sr,2000-10-18,
Romelle Mansel,Jackson St.,31,32.4452,0.152303,Sr,2000-11-21,
DK Thorn,UT Rio Grande Valley,27,29.9200,1.23635,Sr,2000-10-13,
Juwan Gary,Nebraska,35,30.5486,4.36734,Sr,2001-02-17,
PJ Fuller II,Cal St. Northridge,29,25.3613,-2.29444,Sr,2000-02-11,
Diante Smith,UT Arlington,19,20.4476,-1.44873,Sr,2000-04-10,
Taryn Todd,Arkansas St.,35,29.9000,2.1007,Sr,2001-09-06,
Dontaie Allen,Wyoming,31,23.9750,-0.851931,Sr,2000-11-05,
Mylik Wilson,Houston,40,17.4900,10.0416,Sr,2000-09-20,
Micah Thomas,Northwestern St.,30,26.8406,-1.32049,Jr,2000-10-15,
Michael Christmas,Longwood,29,29.4094,-0.845882,Sr,2000-12-31,
Rashaun Agee,USC,34,20.1471,7.31447,Sr,2000-11-02,
